LoanID,Fraud,Loan Provider,Gender,OwnsCar,OwnsProperty,NumberOfChildren,AnnualIncome,TotalCredit,MonthlyPayments,SecurityDeposit,LatePaymentAmount,Occupation,Education,RiskLevel,MartialStatus,HouseType,NumberOfAccounts,CreditScore,CustomerAge,IncomeTaxDefault,NumberOfBankAccounts,ApplicationDay,HourOfDayApplied,ExperianRating
136716,0,Cash loans,F,0,0,0,234000.0,674635.5,34573.5,603000.0,56149,Working,Secondary / secondary special,,Separated,Municipal apartment,8,705,37,0,1,MONDAY,10,655.0
164113,0,Cash loans,F,0,1,2,36000.0,177768.0,14175.0,135000.0,15817,Working,Secondary / secondary special,LowRisk,Civil marriage,House / apartment,18,613,73,0,43,THURSDAY,10,581.4
154975,0,Cash loans,M,0,1,1,225000.0,286704.0,17455.5,247500.0,42490,State servant,Secondary / secondary special,HighRisk,Married,House / apartment,15,472,65,0,38,THURSDAY,9,468.6
296545,0,Cash loans,F,0,0,2,180000.0,1350000.0,39604.5,1350000.0,55786,State servant,Higher education,HighRisk,Married,House / apartment,11,266,62,0,16,MONDAY,14,303.8
298072,0,Loans Now,F,0,1,1,67500.0,180000.0,9000.0,180000.0,60504,Working,Higher education,LowRisk,Civil marriage,House / apartment,3,28,58,0,7,TUESDAY,12,113.4
175325,0,Cash loans,M,0,1,0,315000.0,256500.0,20394.0,256500.0,31385,Working,Secondary / secondary special,Risk,Civil marriage,House / apartment,10,421,61,0,44,THURSDAY,14,427.8
281877,0,Cash loans,F,1,1,0,99000.0,1334731.5,39154.5,1165500.0,31311,Commercial associate,Secondary / secondary special,,Married,House / apartment,3,264,52,1,35,FRIDAY,7,302.2
266480,0,Loans Now,M,1,1,0,135000.0,450000.0,22500.0,450000.0,77944,Working,Secondary / secondary special,,Married,House / apartment,10,575,70,0,5,SATURDAY,14,551.0
211032,0,Cash loans,F,0,1,0,67500.0,136260.0,8838.0,112500.0,71443,Pensioner,Secondary / secondary special,LowRisk,Widow,House / apartment,1,163,63,0,17,TUESDAY,8,221.4
253636,0,Cash loans,F,0,1,1,135000.0,592560.0,35937.0,450000.0,30232,State servant,Secondary / secondary special,LowRisk,Married,House / apartment,6,302,36,0,44,FRIDAY,12,332.6
142799,0,Cash loans,M,1,0,0,112500.0,528633.0,19719.0,472500.0,18332,Working,Secondary / secondary special,,Married,House / apartment,6,216,51,0,11,TUESDAY,10,263.8
270293,0,Cash loans,M,0,1,0,202500.0,454500.0,46701.0,454500.0,20140,Commercial associate,Secondary / secondary special,,Civil marriage,House / apartment,13,37,40,0,26,THURSDAY,18,120.6
345006,0,Cash loans,F,0,1,2,270000.0,728460.0,44694.0,675000.0,28609,Working,Higher education,LowRisk,Married,House / apartment,21,574,72,0,4,THURSDAY,11,550.2
345047,0,Cash loans,M,0,0,0,202500.0,508500.0,35518.5,508500.0,41265,Working,Secondary / secondary special,HighRisk,Separated,With parents,19,298,50,0,17,SATURDAY,18,329.4
344902,0,Cash loans,F,0,1,0,108000.0,545040.0,25407.0,450000.0,46819,Commercial associate,Secondary / secondary special,Risk,Married,House / apartment,3,324,74,0,23,THURSDAY,11,350.2
277149,0,Cash loans,F,0,1,0,135000.0,630000.0,20952.0,630000.0,4646,Pensioner,Secondary / secondary special,LowRisk,Married,House / apartment,10,271,67,0,33,MONDAY,10,307.8
297866,1,Cash loans,F,0,1,2,135000.0,576072.0,26986.5,405000.0,48279,Working,Secondary / secondary special,HighRisk,Married,House / apartment,10,117,52,0,43,TUESDAY,14,184.6
321805,0,Cash loans,F,0,1,2,130500.0,509922.0,28602.0,472500.0,58451,Working,Secondary / secondary special,LowRisk,Married,House / apartment,15,152,56,0,24,MONDAY,10,212.6
305602,1,Cash loans,F,0,1,0,247500.0,735579.0,40032.0,585000.0,68894,Working,Secondary / secondary special,HighRisk,Civil marriage,House / apartment,16,233,30,0,4,MONDAY,11,277.4
331325,0,Loans Now,M,0,0,1,135000.0,180000.0,9000.0,180000.0,51345,Working,Secondary / secondary special,,Married,House / apartment,8,182,75,0,28,SATURDAY,11,236.6
327994,0,Cash loans,F,1,1,0,99000.0,538704.0,26046.0,481500.0,32188,Working,Secondary / secondary special,Risk,Married,House / apartment,0,380,74,0,11,SATURDAY,9,395.0
155028,1,Cash loans,M,0,1,0,190350.0,1091565.0,55863.0,882000.0,62291,Commercial associate,Secondary / secondary special,Risk,Married,House / apartment,22,83,53,1,19,WEDNESDAY,10,157.4
390748,0,Cash loans,F,1,1,1,180000.0,339948.0,34960.5,315000.0,11749,Commercial associate,Higher education,,Separated,House / apartment,19,765,51,0,33,MONDAY,13,703.0
414589,0,Cash loans,F,1,0,0,180000.0,1056447.0,27999.0,922500.0,72952,Commercial associate,Secondary / secondary special,Risk,Married,Rented apartment,15,320,73,0,36,FRIDAY,9,347.0
449404,0,Cash loans,F,0,1,4,135000.0,1406880.0,38817.0,1228500.0,44730,Commercial associate,Higher education,,Married,House / apartment,8,336,75,0,27,THURSDAY,13,359.8
394363,0,Cash loans,M,0,1,0,121500.0,835380.0,22531.5,675000.0,6179,Pensioner,Secondary / secondary special,LowRisk,Married,House / apartment,8,735,41,0,28,WEDNESDAY,11,679.0
195777,0,Cash loans,F,0,1,0,112500.0,391090.5,20097.0,297000.0,57824,Working,Secondary / secondary special,LowRisk,Married,House / apartment,7,390,31,0,24,THURSDAY,12,403.0
203782,0,Cash loans,F,0,0,2,180000.0,582804.0,24822.0,463500.0,31284,Working,Incomplete higher,LowRisk,Married,House / apartment,19,281,57,0,19,THURSDAY,17,315.8
408332,0,Cash loans,M,0,1,2,189000.0,808650.0,26217.0,675000.0,7170,Working,Secondary / secondary special,LowRisk,Married,House / apartment,4,56,31,1,10,MONDAY,10,135.8
313465,0,Cash loans,M,0,1,0,90000.0,276277.5,15115.5,238500.0,76134,Working,Higher education,Risk,Single / not married,House / apartment,9,546,36,0,38,WEDNESDAY,13,527.8
349578,1,Cash loans,F,0,1,1,108000.0,545040.0,26640.0,450000.0,63959,Working,Higher education,Risk,Married,House / apartment,22,242,34,0,30,TUESDAY,12,284.6
298993,0,Cash loans,M,0,1,0,144000.0,364896.0,16200.0,315000.0,23136,Working,Secondary / secondary special,Risk,Married,House / apartment,11,28,53,0,18,FRIDAY,18,113.4
315333,0,Cash loans,F,0,1,1,292500.0,808650.0,23773.5,675000.0,43984,Pensioner,Secondary / secondary special,,Widow,House / apartment,16,558,73,0,35,FRIDAY,17,537.4
385308,0,Cash loans,F,1,1,0,157500.0,392427.0,19215.0,324000.0,35332,Working,Higher education,,Married,House / apartment,21,557,72,0,36,WEDNESDAY,13,536.6
268819,0,Cash loans,F,0,0,0,135000.0,450000.0,30073.5,450000.0,20551,Commercial associate,Secondary / secondary special,LowRisk,Married,House / apartment,15,375,64,0,2,TUESDAY,9,391.0
449690,0,Cash loans,M,0,0,0,103500.0,1233000.0,43681.5,1233000.0,846,Working,Secondary / secondary special,Risk,Married,House / apartment,9,610,51,0,21,WEDNESDAY,12,579.0
322623,0,Cash loans,M,1,1,0,112500.0,729792.0,44775.0,630000.0,40982,Working,Secondary / secondary special,,Single / not married,House / apartment,21,541,34,0,24,TUESDAY,9,523.8
111854,0,Cash loans,M,0,1,0,315000.0,545040.0,36553.5,450000.0,53410,Working,Secondary / secondary special,HighRisk,Married,House / apartment,14,171,60,1,13,MONDAY,7,227.8
151436,0,Cash loans,F,0,1,0,135000.0,331920.0,17100.0,225000.0,62276,Pensioner,Secondary / secondary special,LowRisk,Widow,Municipal apartment,22,3,64,0,13,TUESDAY,14,93.4
373486,0,Cash loans,F,0,1,0,225000.0,450000.0,34956.0,450000.0,58030,Working,Incomplete higher,Risk,Married,House / apartment,3,770,71,0,24,SATURDAY,10,707.0
224187,0,Cash loans,F,1,1,1,81000.0,301095.0,19759.5,279000.0,6667,Commercial associate,Secondary / secondary special,,Married,House / apartment,7,170,45,0,18,MONDAY,13,227.0
435327,1,Cash loans,M,0,0,0,315000.0,942300.0,24984.0,675000.0,45104,Working,Secondary / secondary special,HighRisk,Civil marriage,House / apartment,20,68,30,0,13,TUESDAY,12,145.4
211400,1,Loans Now,F,0,1,0,81000.0,247500.0,12375.0,247500.0,77557,Working,Secondary / secondary special,Risk,Married,House / apartment,21,233,43,1,37,WEDNESDAY,13,277.4
273494,1,Cash loans,M,0,1,0,135000.0,414792.0,21847.5,315000.0,68216,Working,Secondary / secondary special,HighRisk,Married,House / apartment,11,265,39,1,21,MONDAY,19,303.0
403750,0,Cash loans,F,0,0,0,292500.0,760225.5,30150.0,679500.0,51524,State servant,Higher education,,Civil marriage,House / apartment,14,403,38,0,45,SATURDAY,16,413.4
232934,0,Cash loans,M,0,0,0,171000.0,1080000.0,29700.0,1080000.0,75343,Working,Secondary / secondary special,LowRisk,Married,House / apartment,14,1,37,0,19,SATURDAY,15,91.8
200961,0,Cash loans,F,0,1,0,67500.0,148365.0,11781.0,135000.0,24398,Pensioner,Secondary / secondary special,Risk,Widow,Office apartment,2,751,32,0,19,TUESDAY,14,691.8
420826,0,Cash loans,M,1,1,1,225000.0,545040.0,43191.0,450000.0,73269,Working,Secondary / secondary special,,Married,With parents,13,484,75,0,5,FRIDAY,11,478.2
280559,0,Cash loans,F,0,1,0,274500.0,1506816.0,47443.5,1350000.0,41691,Commercial associate,Higher education,,Separated,House / apartment,12,151,53,0,34,WEDNESDAY,7,211.8
179530,0,Cash loans,F,0,0,0,99000.0,576837.0,16866.0,481500.0,52366,Pensioner,Secondary / secondary special,Risk,Separated,House / apartment,13,129,58,0,16,SATURDAY,9,194.2
414778,0,Cash loans,M,1,0,1,315000.0,1288350.0,41692.5,1125000.0,77850,Commercial associate,Higher education,,Married,House / apartment,9,576,47,0,6,MONDAY,18,551.8
446807,0,Loans Now,F,0,1,0,135000.0,135000.0,6750.0,135000.0,1055,Working,Higher education,,Civil marriage,House / apartment,8,752,44,0,27,TUESDAY,12,692.6
153215,0,Cash loans,F,1,0,2,135000.0,253737.0,15651.0,229500.0,6848,Commercial associate,Higher education,,Separated,House / apartment,5,295,71,0,17,TUESDAY,13,327.0
245154,0,Cash loans,M,1,1,1,247500.0,1575000.0,47754.0,1575000.0,34499,Pensioner,Secondary / secondary special,,Married,House / apartment,10,644,54,0,38,WEDNESDAY,11,606.2
206280,0,Loans Now,F,1,1,1,112500.0,135000.0,6750.0,135000.0,30555,Working,Higher education,,Separated,With parents,0,404,54,0,20,SATURDAY,8,414.2
122180,0,Cash loans,F,0,1,0,180000.0,314055.0,16164.0,238500.0,9913,Working,Secondary / secondary special,LowRisk,Widow,House / apartment,1,268,30,1,2,MONDAY,11,305.4
145206,0,Cash loans,F,1,1,0,144000.0,953460.0,64107.0,900000.0,65841,Working,Higher education,,Married,Co-op apartment,18,263,47,0,45,WEDNESDAY,12,301.4
363986,1,Cash loans,M,1,1,0,157500.0,490495.5,30136.5,454500.0,71012,Working,Secondary / secondary special,LowRisk,Single / not married,House / apartment,12,51,25,1,40,FRIDAY,12,131.8
191406,0,Cash loans,F,0,1,0,112500.0,408330.0,22149.0,292500.0,42057,Commercial associate,Secondary / secondary special,,Civil marriage,House / apartment,18,518,33,0,30,MONDAY,8,505.4
384836,0,Cash loans,F,0,1,1,162000.0,753840.0,24448.5,540000.0,16703,Working,Secondary / secondary special,Risk,Single / not married,House / apartment,6,785,60,0,19,MONDAY,5,719.0
338118,0,Cash loans,F,0,1,0,90000.0,273636.0,15835.5,247500.0,2716,Pensioner,Secondary / secondary special,,Single / not married,House / apartment,8,191,61,0,26,THURSDAY,10,243.8
350903,0,Cash loans,F,1,1,0,99000.0,1056447.0,31018.5,922500.0,68435,State servant,Secondary / secondary special,,Married,House / apartment,19,375,34,0,25,WEDNESDAY,7,391.0
322585,0,Cash loans,F,0,1,1,157500.0,808650.0,31464.0,675000.0,3395,State servant,Higher education,LowRisk,Married,House / apartment,2,674,47,0,19,SATURDAY,10,630.2
297014,0,Loans Now,F,0,1,0,126000.0,270000.0,13500.0,270000.0,41384,Pensioner,Secondary / secondary special,LowRisk,Married,House / apartment,8,429,34,1,11,THURSDAY,7,434.2
138413,0,Cash loans,F,0,1,0,49500.0,76500.0,5242.5,76500.0,39553,Working,Secondary / secondary special,,Married,House / apartment,18,481,47,0,16,THURSDAY,9,475.8
376557,0,Cash loans,F,1,1,1,270000.0,521280.0,27423.0,450000.0,66996,State servant,Higher education,,Married,House / apartment,22,311,56,0,33,SATURDAY,11,339.8
406735,0,Loans Now,F,0,1,0,108000.0,180000.0,9000.0,180000.0,58009,Working,Secondary / secondary special,Risk,Married,House / apartment,7,697,34,1,25,WEDNESDAY,9,648.6
227691,0,Cash loans,F,1,1,0,135000.0,1418692.5,54166.5,1305000.0,6553,Pensioner,Secondary / secondary special,LowRisk,Married,House / apartment,7,783,47,0,20,MONDAY,16,717.4
295715,0,Cash loans,F,0,1,0,121500.0,339241.5,16627.5,238500.0,3924,Working,Secondary / secondary special,,Civil marriage,House / apartment,6,417,64,0,35,TUESDAY,12,424.6
237246,0,Cash loans,M,0,1,0,135000.0,269550.0,18891.0,225000.0,7591,Pensioner,Secondary / secondary special,,Married,House / apartment,22,793,34,0,15,MONDAY,9,725.4
133452,1,Cash loans,F,0,1,1,252000.0,931401.0,47686.5,832500.0,58797,Working,Secondary / secondary special,LowRisk,Married,House / apartment,21,218,46,0,35,WEDNESDAY,10,265.4
182986,0,Cash loans,M,0,1,0,162000.0,284400.0,16456.5,225000.0,46803,Working,Secondary / secondary special,Risk,Married,House / apartment,5,749,52,0,21,TUESDAY,12,690.2
173327,0,Cash loans,F,0,1,0,157500.0,675000.0,24799.5,675000.0,50827,Working,Secondary / secondary special,HighRisk,Married,House / apartment,4,742,62,1,44,WEDNESDAY,9,684.6
336078,0,Cash loans,M,0,1,1,225000.0,171000.0,12915.0,171000.0,16016,Commercial associate,Secondary / secondary special,,Married,House / apartment,14,677,50,0,44,THURSDAY,6,632.6
347640,0,Cash loans,F,0,0,0,112500.0,585000.0,31756.5,585000.0,22277,Pensioner,Secondary / secondary special,,Civil marriage,House / apartment,17,186,46,0,36,MONDAY,14,239.8
358285,0,Cash loans,F,0,0,2,283500.0,559035.0,58833.0,531000.0,52120,State servant,Higher education,HighRisk,Married,House / apartment,6,566,43,0,44,FRIDAY,6,543.8
454298,0,Cash loans,M,1,1,1,189000.0,1319269.5,38704.5,1152000.0,23056,Working,Secondary / secondary special,,Married,House / apartment,0,466,71,0,24,WEDNESDAY,14,463.8
306462,0,Cash loans,F,0,0,0,112500.0,354276.0,18828.0,292500.0,9097,Commercial associate,Secondary / secondary special,Risk,Separated,House / apartment,6,472,73,1,28,FRIDAY,16,468.6
268221,0,Cash loans,M,0,0,1,166500.0,675000.0,34465.5,675000.0,19675,Working,Secondary / secondary special,HighRisk,Married,House / apartment,14,670,62,1,42,SATURDAY,17,627.0
172503,0,Cash loans,F,0,1,0,90000.0,227520.0,8577.0,180000.0,41090,Pensioner,Secondary / secondary special,,Single / not married,House / apartment,12,740,64,0,42,TUESDAY,9,683.0
195470,0,Cash loans,F,0,1,0,157500.0,585000.0,28273.5,585000.0,8908,Working,Secondary / secondary special,,Married,House / apartment,1,515,62,0,26,TUESDAY,9,503.0
389610,0,Cash loans,F,0,1,0,171000.0,1024290.0,30078.0,855000.0,31848,Pensioner,Secondary / secondary special,LowRisk,Married,House / apartment,21,498,33,0,39,MONDAY,7,489.4
387601,0,Cash loans,F,0,0,0,225000.0,463500.0,16776.0,463500.0,74296,Commercial associate,Higher education,LowRisk,Married,With parents,15,70,74,0,12,MONDAY,16,147.0
422337,0,Cash loans,F,0,1,0,225000.0,586764.0,24795.0,405000.0,20086,Pensioner,Secondary / secondary special,LowRisk,Single / not married,House / apartment,15,638,64,0,41,THURSDAY,9,601.4
290607,0,Cash loans,F,0,0,0,112500.0,490495.5,30006.0,454500.0,29426,Pensioner,Secondary / secondary special,Risk,Married,House / apartment,9,246,67,1,29,TUESDAY,15,287.8
257316,0,Cash loans,F,0,0,1,90000.0,1288350.0,35559.0,1125000.0,20802,Working,Higher education,,Married,House / apartment,8,50,68,0,27,SATURDAY,11,131.0
121129,0,Cash loans,F,0,0,0,157500.0,640080.0,31261.5,450000.0,24169,Commercial associate,Secondary / secondary special,,Single / not married,House / apartment,22,425,38,1,36,THURSDAY,14,431.0
272124,0,Cash loans,M,1,1,0,117000.0,170640.0,11403.0,135000.0,3376,Commercial associate,Secondary / secondary special,LowRisk,Separated,House / apartment,15,200,61,0,29,THURSDAY,10,251.0
396528,0,Cash loans,F,0,1,0,112500.0,562491.0,23832.0,454500.0,74522,Working,Secondary / secondary special,LowRisk,Civil marriage,House / apartment,22,293,70,0,36,MONDAY,5,325.4
265983,0,Cash loans,F,1,1,0,216000.0,1074861.0,35653.5,963000.0,7733,Working,Secondary / secondary special,HighRisk,Married,Municipal apartment,3,125,59,0,18,TUESDAY,18,191.0
140275,0,Cash loans,F,0,0,0,180000.0,810000.0,26770.5,810000.0,4555,Commercial associate,Secondary / secondary special,,Civil marriage,House / apartment,19,220,70,1,15,WEDNESDAY,20,267.0
245111,0,Cash loans,F,1,1,0,247500.0,567000.0,31657.5,567000.0,57286,Commercial associate,Higher education,,Single / not married,House / apartment,21,683,45,0,11,SUNDAY,13,637.4
416109,0,Cash loans,F,0,0,0,135000.0,135000.0,13833.0,135000.0,77755,Commercial associate,Secondary / secondary special,,Married,House / apartment,15,230,57,0,25,TUESDAY,11,275.0
223035,0,Cash loans,F,0,1,0,157500.0,781920.0,36364.5,675000.0,18003,Pensioner,Secondary / secondary special,,Widow,House / apartment,19,57,70,0,11,THURSDAY,16,136.6
202176,1,Cash loans,M,0,0,1,112500.0,900000.0,31887.0,900000.0,75623,Working,Higher education,LowRisk,Married,House / apartment,13,188,51,0,14,WEDNESDAY,11,241.4
397013,0,Cash loans,F,0,1,0,33750.0,337500.0,17361.0,337500.0,42245,Pensioner,Secondary / secondary special,LowRisk,Married,House / apartment,8,480,53,0,34,TUESDAY,9,475.0
215375,0,Cash loans,F,1,1,1,157500.0,1125000.0,32895.0,1125000.0,41998,Working,Incomplete higher,Risk,Civil marriage,House / apartment,3,273,51,0,40,THURSDAY,19,309.4
316114,0,Cash loans,M,0,1,0,90000.0,222547.5,15619.5,202500.0,79903,Pensioner,Secondary / secondary special,Risk,Married,House / apartment,15,92,65,0,4,TUESDAY,11,164.6
141973,0,Loans Now,F,0,0,1,166500.0,495000.0,24750.0,495000.0,66689,State servant,Secondary / secondary special,,Married,House / apartment,18,355,48,0,45,SATURDAY,13,375.0
326757,1,Cash loans,M,1,1,1,180000.0,1288350.0,37800.0,1125000.0,40063,Working,Secondary / secondary special,Risk,Married,House / apartment,10,33,49,1,43,SATURDAY,12,117.4
256761,0,Cash loans,M,1,0,0,180000.0,835380.0,40320.0,675000.0,26785,Working,Secondary / secondary special,Risk,Married,House / apartment,5,660,59,0,42,THURSDAY,10,619.0
381291,0,Cash loans,F,1,1,0,112500.0,544491.0,17694.0,454500.0,21203,Pensioner,Secondary / secondary special,,Civil marriage,House / apartment,5,199,61,0,40,FRIDAY,12,250.2
364778,0,Cash loans,F,0,1,0,112500.0,675000.0,24246.0,675000.0,76387,Pensioner,Secondary / secondary special,HighRisk,Widow,House / apartment,18,468,32,0,16,SATURDAY,13,465.4
114787,0,Cash loans,M,0,1,0,180000.0,172021.5,18193.5,148500.0,46086,Working,Higher education,LowRisk,Civil marriage,House / apartment,18,625,73,0,22,MONDAY,9,591.0
123699,0,Cash loans,F,0,1,0,112500.0,536917.5,19413.0,463500.0,11900,Pensioner,Secondary / secondary special,,Married,House / apartment,8,571,31,0,4,WEDNESDAY,10,547.8
199337,0,Loans Now,F,0,1,2,90000.0,225000.0,11250.0,225000.0,57808,Working,Secondary / secondary special,LowRisk,Married,House / apartment,16,638,51,0,39,WEDNESDAY,8,601.4
429629,0,Cash loans,F,0,0,0,106200.0,436032.0,15790.5,360000.0,24999,Pensioner,Secondary / secondary special,,Single / not married,House / apartment,0,767,34,0,16,MONDAY,10,704.6
291406,0,Cash loans,M,1,1,0,220500.0,350415.0,26329.5,292500.0,49920,Commercial associate,Higher education,LowRisk,Married,House / apartment,19,572,62,0,26,WEDNESDAY,9,548.6
405719,0,Cash loans,M,1,1,0,81000.0,675000.0,19737.0,675000.0,36343,Pensioner,Secondary / secondary special,,Civil marriage,House / apartment,18,615,74,0,35,TUESDAY,15,583.0
344365,0,Cash loans,F,1,1,0,225000.0,1267924.5,83835.0,1215000.0,58319,State servant,Secondary / secondary special,,Married,House / apartment,12,24,47,1,11,TUESDAY,16,110.2
215438,1,Cash loans,M,0,0,0,270000.0,720000.0,21051.0,720000.0,43593,Commercial associate,Incomplete higher,Risk,Civil marriage,House / apartment,20,146,42,1,45,SATURDAY,18,207.8
178400,0,Cash loans,M,1,1,0,310500.0,239850.0,25830.0,225000.0,61952,Working,Incomplete higher,Risk,Married,House / apartment,11,212,67,0,5,MONDAY,9,260.6
136215,0,Cash loans,F,0,1,0,135000.0,325908.0,15808.5,247500.0,29,Commercial associate,Secondary / secondary special,Risk,Married,House / apartment,8,533,64,0,39,WEDNESDAY,15,517.4
455978,0,Cash loans,F,0,0,0,112500.0,450000.0,17271.0,450000.0,42424,Working,Secondary / secondary special,,Separated,House / apartment,4,394,40,0,14,TUESDAY,18,406.2
173194,0,Loans Now,F,0,1,0,202500.0,1350000.0,67500.0,1350000.0,3295,Working,Secondary / secondary special,,Married,House / apartment,15,248,45,0,36,TUESDAY,14,289.4
418865,0,Cash loans,F,0,0,0,135000.0,490536.0,35676.0,405000.0,20790,Working,Secondary / secondary special,LowRisk,Married,House / apartment,12,168,30,1,45,WEDNESDAY,16,225.4
399140,0,Cash loans,F,0,1,0,121500.0,652500.0,25411.5,652500.0,30444,Working,Secondary / secondary special,LowRisk,Married,House / apartment,22,36,64,1,35,SATURDAY,12,119.8
345807,0,Cash loans,F,0,1,2,180000.0,1034680.5,37296.0,927000.0,28285,Commercial associate,Secondary / secondary special,Risk,Married,House / apartment,4,163,57,0,15,THURSDAY,14,221.4
359825,0,Cash loans,M,1,1,1,180000.0,254700.0,30357.0,225000.0,65096,Commercial associate,Secondary / secondary special,LowRisk,Civil marriage,House / apartment,16,187,75,0,22,SUNDAY,10,240.6
185767,0,Cash loans,F,0,1,0,315000.0,1205451.0,39969.0,1080000.0,30694,Pensioner,Secondary / secondary special,,Separated,House / apartment,18,222,45,0,32,FRIDAY,15,268.6
117535,0,Cash loans,F,0,1,0,180000.0,544491.0,15732.0,454500.0,12722,Pensioner,Secondary / secondary special,HighRisk,Married,House / apartment,21,223,39,1,15,SUNDAY,16,269.4
308392,0,Cash loans,F,0,1,0,180000.0,808650.0,31464.0,675000.0,29139,Working,Secondary / secondary special,LowRisk,Separated,House / apartment,5,126,30,0,43,FRIDAY,11,191.8
139581,1,Cash loans,M,0,1,0,157500.0,401386.5,21901.5,346500.0,55134,Working,Secondary / secondary special,HighRisk,Married,House / apartment,20,130,53,1,35,TUESDAY,12,195.0
139612,1,Cash loans,F,0,1,2,78750.0,354469.5,19359.0,306000.0,56092,Working,Secondary / secondary special,Risk,Single / not married,House / apartment,13,231,31,0,21,SATURDAY,7,275.8
360794,0,Loans Now,M,0,1,1,108000.0,135000.0,6750.0,135000.0,1167,Working,Secondary / secondary special,LowRisk,Single / not married,House / apartment,7,281,50,0,2,WEDNESDAY,10,315.8
447858,0,Cash loans,F,0,0,0,135000.0,276277.5,20655.0,238500.0,59506,Working,Secondary / secondary special,LowRisk,Single / not married,With parents,11,462,66,0,3,MONDAY,9,460.6
154457,0,Cash loans,F,0,1,0,292500.0,834048.0,27693.0,720000.0,38205,Pensioner,Secondary / secondary special,,Widow,House / apartment,9,617,64,0,8,MONDAY,15,584.6
256603,1,Cash loans,M,1,1,0,315000.0,555273.0,18040.5,463500.0,44163,Commercial associate,Secondary / secondary special,LowRisk,Married,House / apartment,13,244,31,1,2,THURSDAY,12,286.2
234422,0,Cash loans,F,0,1,0,112500.0,835380.0,40189.5,675000.0,53092,Working,Secondary / secondary special,,Married,House / apartment,3,638,44,0,21,SUNDAY,11,601.4
231084,0,Loans Now,F,0,1,0,112500.0,337500.0,16875.0,337500.0,25601,Working,Secondary / secondary special,HighRisk,Separated,House / apartment,8,546,75,0,17,MONDAY,11,527.8
317920,0,Loans Now,M,0,1,1,247500.0,675000.0,33750.0,675000.0,31279,Working,Secondary / secondary special,LowRisk,Married,House / apartment,18,271,36,0,43,SUNDAY,13,307.8
299802,0,Loans Now,M,1,1,0,292500.0,270000.0,13500.0,360000.0,79897,Working,Higher education,LowRisk,Married,House / apartment,16,742,71,1,38,MONDAY,11,684.6
427207,0,Cash loans,F,0,1,0,78750.0,50940.0,5346.0,45000.0,48776,Pensioner,Secondary / secondary special,Risk,Civil marriage,House / apartment,6,153,52,0,17,MONDAY,8,213.4
213348,0,Cash loans,F,0,0,0,306000.0,1057657.5,54130.5,868500.0,13628,Commercial associate,Higher education,,Married,Municipal apartment,21,776,75,0,21,TUESDAY,17,711.8
199863,0,Cash loans,F,0,0,0,162000.0,633730.5,30618.0,504000.0,35259,Working,Secondary / secondary special,HighRisk,Married,House / apartment,13,606,67,0,24,THURSDAY,10,575.8
187361,0,Cash loans,M,1,1,0,180000.0,900000.0,26316.0,900000.0,64094,Working,Secondary / secondary special,Risk,Married,House / apartment,0,417,60,1,12,TUESDAY,17,424.6
213175,0,Cash loans,F,0,1,0,202500.0,621900.0,49266.0,562500.0,34570,Working,Higher education,Risk,Married,House / apartment,2,258,44,0,16,SATURDAY,10,297.4
368260,0,Cash loans,M,0,0,0,157500.0,263686.5,14044.5,238500.0,23268,Working,Secondary / secondary special,Risk,Single / not married,House / apartment,14,583,47,0,15,TUESDAY,10,557.4
197671,0,Cash loans,F,0,0,1,112500.0,1024290.0,33174.0,855000.0,19097,Commercial associate,Higher education,LowRisk,Civil marriage,House / apartment,9,725,68,0,34,THURSDAY,9,671.0
408161,0,Cash loans,F,1,1,0,540000.0,1264522.5,41922.0,1035000.0,79833,Commercial associate,Higher education,Risk,Married,House / apartment,13,293,53,1,20,WEDNESDAY,16,325.4
455196,0,Cash loans,M,1,0,2,135000.0,545040.0,26509.5,450000.0,36239,Working,Secondary / secondary special,HighRisk,Married,House / apartment,11,619,41,1,19,SATURDAY,15,586.2
253805,0,Cash loans,F,1,1,0,202500.0,328500.0,26469.0,328500.0,28757,Working,Secondary / secondary special,,Married,House / apartment,2,468,54,0,27,WEDNESDAY,12,465.4
337288,0,Cash loans,M,1,1,0,225000.0,521280.0,28408.5,450000.0,36515,Working,Secondary / secondary special,LowRisk,Single / not married,House / apartment,4,389,56,0,39,MONDAY,11,402.2
223147,0,Cash loans,F,0,1,1,180000.0,954207.0,27900.0,796500.0,29353,Commercial associate,Secondary / secondary special,LowRisk,Single / not married,House / apartment,3,108,68,0,22,FRIDAY,11,177.4
445198,0,Cash loans,F,0,1,0,171000.0,312768.0,21285.0,270000.0,5599,Working,Secondary / secondary special,LowRisk,Civil marriage,House / apartment,7,27,32,0,5,MONDAY,9,112.6
273328,0,Cash loans,F,0,1,0,157500.0,531000.0,20704.5,531000.0,5671,Working,Secondary / secondary special,,Married,House / apartment,7,176,41,1,15,TUESDAY,11,231.8
234425,0,Cash loans,F,0,1,0,90000.0,144801.0,11610.0,117000.0,34063,Pensioner,Secondary / secondary special,,Married,House / apartment,13,454,51,0,22,MONDAY,12,454.2
108768,0,Cash loans,F,1,0,0,135000.0,225000.0,15034.5,225000.0,22581,State servant,Higher education,LowRisk,Married,House / apartment,8,25,57,0,21,WEDNESDAY,12,111.0
355079,0,Cash loans,F,0,1,0,45000.0,254700.0,14350.5,225000.0,59813,Pensioner,Secondary / secondary special,LowRisk,Widow,House / apartment,13,310,33,0,41,WEDNESDAY,11,339.0
